id,name,model,price,review,mileage,year,fuel_type,transmission,color,location,is_featured,image_urls,rating
jueRlbBjBNahEIq,GMC Safari,Truck,$928,Relationship parent media tax.,16172,2020,Gasoline,Manual,DarkSeaGreen,"Oliviaburgh, AS",True,https://images.pexels.com/photos/812524/pexels-photo-2427781.jpeg|https://images.pexels.com/photos/368363/pexels-photo-6546017.jpeg,4.1
zfX15s50RconFWB,Kia Niro,Truck,$601,Administration walk report.,94585,2010,Gasoline,Manual,BlueViolet,"Gabrielhaven, MH",False,https://images.pexels.com/photos/596788/pexels-photo-2967344.jpeg|https://images.pexels.com/photos/701223/pexels-photo-9575024.jpeg|https://images.pexels.com/photos/371981/pexels-photo-1206472.jpeg,3.8
M7ta2tmIdmHyxdG,Hyundai Nexo,Sedan,$507,For law he series democratic program structure call.,94760,2011,Electric,Manual,SeaGreen,"Michaelview, VA",True,https://images.pexels.com/photos/830430/pexels-photo-4858485.jpeg,4.1
ix75pdEBpuHzP0b,Hyundai Santa Cruz,Truck,$934,Party lay everything under money little Mr.,70388,2020,Gasoline,Manual,MidnightBlue,"Davidberg, ME",False,https://images.pexels.com/photos/975230/pexels-photo-3495702.jpeg,4.5
jiZQOKTUu0FFMlM,Volkswagen Jetta,Truck,$537,Keep remain radio alone ask late.,96455,2007,Diesel,Manual,MintCream,"Hillberg, TN",True,https://images.pexels.com/photos/137327/pexels-photo-3320827.jpeg,3.0
oVa8uDzUnJ37qCL,Jeep Comanche,Truck,$799,Box material father garden public kid.,18953,2022,Diesel,Automatic,Blue,"Averyberg, MP",True,https://images.pexels.com/photos/845040/pexels-photo-6172460.jpeg|https://images.pexels.com/photos/568354/pexels-photo-7013532.jpeg,4.8
bOERBPudMspb7zj,Hyundai Veracruz,Sedan,$884,Season various natural past.,65536,2001,Diesel,Automatic,Coral,"Michaelbury, MP",False,https://images.pexels.com/photos/755288/pexels-photo-1243107.jpeg|https://images.pexels.com/photos/230276/pexels-photo-8808779.jpeg,3.8
udjL9KfY4uzm7Av,Mazda B-Series,Truck,$846,Partner visit economy party manager various.,34449,2007,Diesel,Manual,Peru,"New Georgeburgh, WV",False,https://images.pexels.com/photos/361200/pexels-photo-1068453.jpeg|https://images.pexels.com/photos/288655/pexels-photo-7118052.jpeg|https://images.pexels.com/photos/481594/pexels-photo-3545107.jpeg,3.3
6pQRExgpOCDKFeW,Ford Taurus,SUV,$785,Yeah west great blood sister central example.,98787,2000,Diesel,Automatic,Gainsboro,"New Josebury, CA",False,https://images.pexels.com/photos/439711/pexels-photo-6639162.jpeg|https://images.pexels.com/photos/668782/pexels-photo-6497912.jpeg|https://images.pexels.com/photos/768688/pexels-photo-9210384.jpeg,3.7
pZKM4vizK0BKWyB,Volkswagen Rabbit,Sedan,$520,Involve crime strategy lot reach.,90946,2018,Electric,Automatic,White,"West Christopher, OH",True,https://images.pexels.com/photos/837387/pexels-photo-3802439.jpeg|https://images.pexels.com/photos/748959/pexels-photo-5992698.jpeg|https://images.pexels.com/photos/215424/pexels-photo-1639892.jpeg,4.7
HqFLFPbJVNTKYxy,Volkswagen Jetta GLI,SUV,$757,Suddenly cell help law finally unit still.,46564,2002,Diesel,Automatic,Maroon,"East Joelhaven, KS",True,https://images.pexels.com/photos/708210/pexels-photo-7109029.jpeg|https://images.pexels.com/photos/676265/pexels-photo-9108923.jpeg,4.3
vhiNRajPQm1tvRN,Nissan Murano,Truck,$701,Woman husband believe second or effort so.,36249,2012,Electric,Automatic,HoneyDew,"North Tammyburgh, ND",True,https://images.pexels.com/photos/301756/pexels-photo-6918294.jpeg|https://images.pexels.com/photos/261618/pexels-photo-1997956.jpeg|https://images.pexels.com/photos/527230/pexels-photo-7152623.jpeg,3.4
8eVM0s8kBnug53c,BMW Z4,Sedan,$684,Majority finally ahead reach.,36533,2004,Diesel,Manual,Coral,"Roberthaven, CO",False,https://images.pexels.com/photos/321224/pexels-photo-4262936.jpeg|https://images.pexels.com/photos/496151/pexels-photo-3786520.jpeg,3.0
JueYw0xlnlrKy1c,Mazda B-Series,Truck,$424,Wonder north only event song.,56750,2000,Diesel,Manual,Silver,"Annaburgh, FM",True,https://images.pexels.com/photos/419914/pexels-photo-7512430.jpeg,4.2
qcmorbsfguJt8sZ,GMC Acadia,Sedan,$497,Stuff always couple son church practice.,50130,2000,Gasoline,Automatic,LightSalmon,"North Kimberlyside, FM",False,https://images.pexels.com/photos/981328/pexels-photo-6494741.jpeg|https://images.pexels.com/photos/269428/pexels-photo-4391118.jpeg,3.6
tDEtjtubWDKE8qb,Lexus GS,SUV,$918,Television already cover house.,87957,2009,Electric,Manual,DeepPink,"Ryanchester, VT",True,https://images.pexels.com/photos/846680/pexels-photo-8827447.jpeg|https://images.pexels.com/photos/458364/pexels-photo-7275218.jpeg,4.7
bXFmJrlBMSyQIWu,Audi A7,Truck,$743,Eight reason shake ask trip.,28630,2020,Gasoline,Automatic,DarkCyan,"South Jake, AR",True,https://images.pexels.com/photos/576349/pexels-photo-6370839.jpeg|https://images.pexels.com/photos/192169/pexels-photo-5661125.jpeg,3.5
94tx8DaDRxh8dCx,Ford Pinto,Truck,$420,I free off usually town.,64055,2000,Electric,Automatic,PowderBlue,"Michaelside, ME",False,https://images.pexels.com/photos/727477/pexels-photo-9648602.jpeg|https://images.pexels.com/photos/753913/pexels-photo-7323249.jpeg|https://images.pexels.com/photos/994411/pexels-photo-8789334.jpeg,4.7
vbn3cbALOSYoPG5,Mercedes-Benz SLK,SUV,$547,Cultural while stock reality condition information rest scene.,10092,2011,Diesel,Manual,SteelBlue,"West Paul, MO",True,https://images.pexels.com/photos/706501/pexels-photo-8866103.jpeg|https://images.pexels.com/photos/519204/pexels-photo-2832159.jpeg,4.5
sL3YaXWIYQeht4u,Subaru XT,SUV,$812,Movement cut American dinner matter specific ever.,39919,2007,Diesel,Automatic,Indigo,"Katherineport, PR",False,https://images.pexels.com/photos/577803/pexels-photo-6845031.jpeg|https://images.pexels.com/photos/173282/pexels-photo-7774685.jpeg,3.8
PJTMDMzuImarLEU,Audi RS7,Sedan,$533,Say mother even certainly sign.,29160,2022,Diesel,Manual,DarkKhaki,"East Jonathan, OK",True,https://images.pexels.com/photos/268911/pexels-photo-1099835.jpeg|https://images.pexels.com/photos/782472/pexels-photo-6762707.jpeg,4.2
HLPH7AuOEOw9hCh,Jeep Commander,SUV,$850,Plant four off.,92587,2005,Electric,Automatic,OliveDrab,"Rodriguezhaven, OH",True,https://images.pexels.com/photos/352499/pexels-photo-4920646.jpeg,3.8
inne7Kc4S9U272T,Nissan Xterra,Sedan,$734,Pressure assume three time song per benefit.,85168,2001,Diesel,Automatic,MediumTurquoise,"Walkermouth, AL",False,https://images.pexels.com/photos/808030/pexels-photo-1162990.jpeg,3.5
B5G1j12HyIfCqKe,Chevrolet Spark,Truck,$762,Animal bit community always this trade region.,19723,2021,Diesel,Automatic,DodgerBlue,"Masonstad, TX",True,https://images.pexels.com/photos/561770/pexels-photo-1004934.jpeg|https://images.pexels.com/photos/711999/pexels-photo-5918542.jpeg,4.1
gaUqaSXKzx6UrMx,Kia Niro,SUV,$909,Nothing maybe home single quickly.,91189,2022,Gasoline,Automatic,LawnGreen,"Kennethside, OR",False,https://images.pexels.com/photos/715469/pexels-photo-3997433.jpeg,3.4
qG7y1LnIzcPg6Vv,Toyota Matrix,Sedan,$863,Think accept ahead kitchen movement.,82583,2002,Diesel,Automatic,SeaShell,"New Austinchester, TN",True,https://images.pexels.com/photos/49375/pexels-photo-3604536.jpeg|https://images.pexels.com/photos/650689/pexels-photo-3913799.jpeg|https://images.pexels.com/photos/120285/pexels-photo-8085871.jpeg,3.8
XMPC9kTAluzYNIp,Mazda MPV,Truck,$725,Opportunity design great card scene effect.,90512,2013,Diesel,Automatic,Linen,"West Thomas, PR",True,https://images.pexels.com/photos/68136/pexels-photo-2118430.jpeg,3.6
8k7SRICRS07VCw2,BMW i3,SUV,$491,Again thousand evidence take language.,91378,2003,Diesel,Manual,Teal,"Kylestad, MT",True,https://images.pexels.com/photos/942609/pexels-photo-6515193.jpeg,4.9
hWvoBIfsTIoNDLi,Toyota FJ Cruiser,SUV,$972,Offer maintain us edge anything line else.,97947,2019,Gasoline,Automatic,LavenderBlush,"North Natalie, SD",True,https://images.pexels.com/photos/623764/pexels-photo-6141282.jpeg|https://images.pexels.com/photos/897935/pexels-photo-3327674.jpeg,4.5
kO06aTFlx7phEiZ,Hyundai Excel,Sedan,$449,Reveal police magazine film baby social south onto.,41636,2012,Diesel,Automatic,MediumAquaMarine,"Christinaberg, VT",True,https://images.pexels.com/photos/416885/pexels-photo-1717821.jpeg|https://images.pexels.com/photos/211335/pexels-photo-8862164.jpeg|https://images.pexels.com/photos/565433/pexels-photo-7658177.jpeg,4.8
MLK86o3KEXdLHLk,GMC Envoy,Sedan,$667,Region identify unit audience difficult nor either.,81882,2002,Diesel,Automatic,DarkViolet,"South Troy, TX",False,https://images.pexels.com/photos/644666/pexels-photo-4276090.jpeg,3.1
WMUaMiDbur1t39j,Jeep Commander,Truck,$549,Success source force indicate financial both.,51867,2017,Diesel,Manual,WhiteSmoke,"Michaelbury, MT",True,https://images.pexels.com/photos/823940/pexels-photo-9459785.jpeg,4.5
zSz8kjpDOVF8zN9,GMC Typhoon,Truck,$546,Particularly reach window century.,57510,2018,Electric,Automatic,Tomato,"East Davidmouth, NE",False,https://images.pexels.com/photos/656708/pexels-photo-2138255.jpeg|https://images.pexels.com/photos/613487/pexels-photo-2818666.jpeg,3.2
Dnadqeiba71q7b5,Toyota MR2,SUV,$967,Officer population hotel put.,13848,2009,Gasoline,Automatic,Orange,"Jamesview, OH",True,https://images.pexels.com/photos/324490/pexels-photo-2783780.jpeg|https://images.pexels.com/photos/791765/pexels-photo-5208253.jpeg|https://images.pexels.com/photos/322486/pexels-photo-3404462.jpeg,4.6
2wSufz5TG4EnNSW,Audi RS5,Sedan,$483,Officer animal owner each today some can.,48778,2019,Electric,Manual,LightSteelBlue,"Krystalside, PR",True,https://images.pexels.com/photos/687837/pexels-photo-3788048.jpeg|https://images.pexels.com/photos/155398/pexels-photo-5507652.jpeg,4.8
vDVUR8UrNYeIOjL,Kia K900,Truck,$463,Field though follow could pick.,10922,2020,Electric,Manual,Fuchsia,"Mcculloughville, CA",True,https://images.pexels.com/photos/675767/pexels-photo-7168902.jpeg,4.7
44UBGI1Q9YOnNPu,Subaru WRX,Sedan,$786,History matter every every risk never beyond such.,40787,2006,Electric,Manual,Azure,"North Brett, AK",False,https://images.pexels.com/photos/229316/pexels-photo-2273015.jpeg|https://images.pexels.com/photos/314078/pexels-photo-3878700.jpeg,3.6
1a9XclblQv2HyyH,Toyota FJ Cruiser,Sedan,$442,Others network fall pass research nor loss.,15736,2014,Gasoline,Automatic,OldLace,"Beckyshire, ID",True,https://images.pexels.com/photos/148118/pexels-photo-2618810.jpeg|https://images.pexels.com/photos/948792/pexels-photo-6596693.jpeg,3.0
fYlbTqNJlkckkFd,Hyundai Nexo,Truck,$520,Understand important prevent place deep.,99389,2005,Gasoline,Automatic,LightCoral,"Port Lauren, NH",False,https://images.pexels.com/photos/42628/pexels-photo-3264629.jpeg|https://images.pexels.com/photos/335466/pexels-photo-9784861.jpeg|https://images.pexels.com/photos/562727/pexels-photo-4485038.jpeg,4.5
V3EkFwDOz477QoV,Ford Pinto,SUV,$844,Support address five similar.,87113,2012,Diesel,Manual,Coral,"North Michelebury, IN",True,https://images.pexels.com/photos/291616/pexels-photo-3466259.jpeg|https://images.pexels.com/photos/838988/pexels-photo-1415094.jpeg,4.0
ACDjMEL8dLs3VWY,Nissan Murano,Truck,$821,Participant window tax.,34492,2009,Diesel,Manual,HotPink,"Danielleport, WA",False,https://images.pexels.com/photos/689302/pexels-photo-2644786.jpeg|https://images.pexels.com/photos/695977/pexels-photo-6754716.jpeg|https://images.pexels.com/photos/60422/pexels-photo-2854251.jpeg,3.2
OvZQYGHQVr1ZeIi,Lexus HS,Sedan,$962,Direction term everyone.,11134,2011,Electric,Manual,Aqua,"West Arianaland, KS",True,https://images.pexels.com/photos/722899/pexels-photo-2402060.jpeg|https://images.pexels.com/photos/256345/pexels-photo-1265085.jpeg,4.8
rzCwgvSGKex4Ilv,Mazda CX-7,SUV,$503,Past story American matter require even rather our.,69031,2022,Electric,Automatic,SpringGreen,"Smithside, NJ",False,https://images.pexels.com/photos/380525/pexels-photo-3582347.jpeg|https://images.pexels.com/photos/149801/pexels-photo-5504606.jpeg,4.3
2EJq2r4mAFHaTTi,GMC Envoy,Sedan,$499,Chance in entire set contain bed deep hold.,14820,2020,Electric,Automatic,DarkViolet,"Josephport, AZ",False,https://images.pexels.com/photos/837518/pexels-photo-5050727.jpeg,4.7
20iOKN1eohnUTiT,Mercedes-Benz SLK,SUV,$961,But school owner vote wonder.,99066,2009,Electric,Automatic,Aquamarine,"Jimmyport, NV",False,https://images.pexels.com/photos/279110/pexels-photo-4065787.jpeg|https://images.pexels.com/photos/669604/pexels-photo-5429605.jpeg|https://images.pexels.com/photos/252068/pexels-photo-1891653.jpeg,3.7
nBdNhZzMB5nfCxv,Jeep Trackhawk,Sedan,$1000,Government win cut success together be.,89637,2013,Diesel,Manual,Chocolate,"Edwardsburgh, TX",False,https://images.pexels.com/photos/11949/pexels-photo-8937498.jpeg|https://images.pexels.com/photos/61547/pexels-photo-3365969.jpeg|https://images.pexels.com/photos/47542/pexels-photo-4259771.jpeg,3.0
9O0POvioSqX22mf,GMC Canyon,Truck,$517,West pull table not beyond trouble important.,18144,2009,Electric,Manual,Cyan,"Port Tiffany, DC",False,https://images.pexels.com/photos/37521/pexels-photo-1543383.jpeg,4.5
oaJnber7ARWlaOj,Nissan Xterra,Sedan,$776,Law decision whom process court turn sure.,97778,2005,Diesel,Automatic,LimeGreen,"New Loretta, MT",False,https://images.pexels.com/photos/838725/pexels-photo-9733114.jpeg,3.8
bwZRs98ZRFZ7748,Hyundai Nexo,Sedan,$957,Up yes writer security.,50297,2023,Electric,Manual,Moccasin,"West Tylerville, HI",False,https://images.pexels.com/photos/742699/pexels-photo-2643345.jpeg,3.1
QTZvbRHkyK9UI8n,Ford Crown Victoria,Truck,$957,Write attention hand help agent.,61440,2006,Electric,Automatic,Salmon,"Spencerborough, GU",False,https://images.pexels.com/photos/351917/pexels-photo-3619358.jpeg|https://images.pexels.com/photos/989120/pexels-photo-1517237.jpeg|https://images.pexels.com/photos/346305/pexels-photo-8830548.jpeg,4.8
PwlGxw5K3canoav,Lexus HS,Sedan,$615,Everything program something magazine green.,96251,2015,Gasoline,Manual,Peru,"North Beverly, AR",True,https://images.pexels.com/photos/948389/pexels-photo-1366568.jpeg,4.8
ae8n2wfDWhU8DNF,Hyundai Ioniq,Sedan,$532,As interest anyone life task under.,38868,2021,Electric,Manual,Fuchsia,"South Tiffanystad, WV",False,https://images.pexels.com/photos/22725/pexels-photo-1250985.jpeg|https://images.pexels.com/photos/563848/pexels-photo-1320047.jpeg|https://images.pexels.com/photos/187466/pexels-photo-9187168.jpeg,4.3
ww9WpdI7P6tWg36,Honda S2000,Truck,$604,Opportunity teach whom mission class simple ahead get.,14902,2017,Diesel,Automatic,DarkSeaGreen,"Mossfurt, MN",True,https://images.pexels.com/photos/158542/pexels-photo-2983447.jpeg|https://images.pexels.com/photos/306651/pexels-photo-3636361.jpeg,3.9
HcTfMLZaH55sv6X,Toyota Matrix,Sedan,$499,Hear situation everything skin.,10982,2004,Electric,Manual,Pink,"Lake Eric, CO",False,https://images.pexels.com/photos/370808/pexels-photo-7216428.jpeg|https://images.pexels.com/photos/508300/pexels-photo-6525300.jpeg,4.8
RPkg1as6CFawLDJ,Hyundai Excel,SUV,$985,Class production head central just successful.,64744,2018,Electric,Manual,Chartreuse,"Port Garyshire, MS",True,https://images.pexels.com/photos/614162/pexels-photo-9150325.jpeg|https://images.pexels.com/photos/218260/pexels-photo-2589411.jpeg,4.7
Zvc6DIm4IiTI6Wi,GMC Acadia,Sedan,$800,Nature option common fact might however.,21127,2019,Electric,Manual,HoneyDew,"Port Gina, ME",True,https://images.pexels.com/photos/544560/pexels-photo-7253122.jpeg|https://images.pexels.com/photos/736454/pexels-photo-3752658.jpeg|https://images.pexels.com/photos/125373/pexels-photo-8004934.jpeg,3.0
Lw1oG96Epo54ju8,Nissan Cube,SUV,$884,Care growth worker fear industry truth.,51062,2016,Diesel,Manual,Maroon,"West Danieltown, MP",True,https://images.pexels.com/photos/688671/pexels-photo-6327173.jpeg,3.3
PINekUVWTxKHCs7,Audi RS7,SUV,$585,Them hit develop power.,53263,2009,Electric,Manual,LightCyan,"East Stephanieland, PR",False,https://images.pexels.com/photos/317859/pexels-photo-8750003.jpeg,4.7
Gh6IhGa6I8DB1Zc,Mazda Millenia,Sedan,$586,Seem item democratic enough whether.,64004,2019,Electric,Manual,Silver,"South Melinda, MI",True,https://images.pexels.com/photos/611114/pexels-photo-6870687.jpeg|https://images.pexels.com/photos/107025/pexels-photo-2349428.jpeg|https://images.pexels.com/photos/114404/pexels-photo-4352008.jpeg,4.6
XNxRHTWzal9FCXk,Mercedes-Benz SLC,Sedan,$485,Same hope senior here.,26168,2001,Electric,Automatic,DarkOrange,"Cruzberg, FM",True,https://images.pexels.com/photos/778148/pexels-photo-7638817.jpeg,3.3
t6KLrjPE8iQhn8l,Audi A7,Sedan,$832,Hope not because reason huge face.,88571,2000,Diesel,Manual,DarkGreen,"Carpenterview, NY",False,https://images.pexels.com/photos/301494/pexels-photo-7351289.jpeg|https://images.pexels.com/photos/436428/pexels-photo-8751134.jpeg|https://images.pexels.com/photos/183559/pexels-photo-2616527.jpeg,3.5
xA624XrjdmxVpj5,Jeep Comanche,SUV,$680,Event whom ten democratic traditional most goal culture.,59895,2003,Electric,Manual,CadetBlue,"South Steven, VI",False,https://images.pexels.com/photos/821521/pexels-photo-5946523.jpeg|https://images.pexels.com/photos/964255/pexels-photo-7997663.jpeg,4.5
WSdIITqQxpYLkwC,Volkswagen Jetta GLI,Sedan,$973,Expect minute eight interview fear check business.,67985,2015,Diesel,Manual,LightCyan,"Andreamouth, MS",False,https://images.pexels.com/photos/624283/pexels-photo-4703502.jpeg|https://images.pexels.com/photos/150591/pexels-photo-2121867.jpeg,4.0
6udB2Y4JStwXIYm,Ford Pinto,Truck,$924,Yard develop enter director activity.,37051,2007,Diesel,Automatic,LightGray,"Jacquelinefort, NV",False,https://images.pexels.com/photos/714065/pexels-photo-6668480.jpeg|https://images.pexels.com/photos/179762/pexels-photo-1316243.jpeg,3.7
Gj5EWb1dyYsXo1M,Kia Niro,Truck,$420,Simple increase majority in.,33167,2016,Electric,Automatic,Snow,"Bethbury, NY",False,https://images.pexels.com/photos/351303/pexels-photo-4116801.jpeg|https://images.pexels.com/photos/774492/pexels-photo-1399822.jpeg,4.8
diduWPOGSqgYM1Z,Toyota MR2,Truck,$964,Special least technology conference court pressure cut.,30889,2006,Gasoline,Manual,Teal,"Camposhaven, MH",True,https://images.pexels.com/photos/237970/pexels-photo-6919915.jpeg|https://images.pexels.com/photos/417252/pexels-photo-4386337.jpeg,3.4
9JrvwqLoUYE0uaX,Ford Crown Victoria,Truck,$955,Wear form easy.,85181,2007,Diesel,Automatic,Black,"Sparkschester, MO",True,https://images.pexels.com/photos/8984/pexels-photo-1317058.jpeg|https://images.pexels.com/photos/939901/pexels-photo-2870939.jpeg,4.4
AfSUdVD365kDL8S,Dodge Stratus,Truck,$955,City say society.,62738,2003,Diesel,Manual,SteelBlue,"Butlershire, VT",True,https://images.pexels.com/photos/313231/pexels-photo-3420189.jpeg|https://images.pexels.com/photos/594321/pexels-photo-7750510.jpeg,4.7
kFwStOl6Z0CZOdQ,Toyota C-HR,Sedan,$607,Where approach billion rock church far question.,93107,2000,Diesel,Automatic,OliveDrab,"North Amandaton, ND",True,https://images.pexels.com/photos/939045/pexels-photo-6313894.jpeg,3.4
zReBGdDZIgZ4Mce,GMC Typhoon,Truck,$879,Bill interesting region over.,95306,2000,Electric,Manual,Tomato,"Seanborough, VA",False,https://images.pexels.com/photos/367229/pexels-photo-7269795.jpeg|https://images.pexels.com/photos/534749/pexels-photo-1899353.jpeg,4.3
YlZqz7VJNfqyEr7,Mazda CX-4,SUV,$611,Behind able part son eight main huge society.,25436,2019,Gasoline,Automatic,Moccasin,"Dustinbury, MI",False,https://images.pexels.com/photos/837860/pexels-photo-5988933.jpeg|https://images.pexels.com/photos/149280/pexels-photo-3709265.jpeg,3.4
DdybvcfckIPHZy8,Mazda MPV,SUV,$714,Cause day good you yeah.,96831,2010,Diesel,Manual,Salmon,"Austinland, KS",True,https://images.pexels.com/photos/123748/pexels-photo-6541037.jpeg|https://images.pexels.com/photos/282531/pexels-photo-8706057.jpeg|https://images.pexels.com/photos/555489/pexels-photo-4419255.jpeg,3.8
neBICP8nc4XRyAO,Audi RS7,Sedan,$516,Sport attention identify.,53739,2009,Gasoline,Automatic,Teal,"New Gailborough, VA",True,https://images.pexels.com/photos/636979/pexels-photo-7553657.jpeg|https://images.pexels.com/photos/329739/pexels-photo-7756185.jpeg,4.8
q5lXMo9ouqSDllG,Nissan Murano,Truck,$713,Budget address cost staff.,31555,2018,Electric,Automatic,LimeGreen,"Frankstad, VI",False,https://images.pexels.com/photos/775679/pexels-photo-6745863.jpeg|https://images.pexels.com/photos/31426/pexels-photo-8229815.jpeg|https://images.pexels.com/photos/749859/pexels-photo-1013774.jpeg,3.1
bgrJ46q9FzSn1gA,Subaru Baja,SUV,$482,Method suggest tend hard home management movement.,47766,2000,Gasoline,Automatic,YellowGreen,"Lake Amanda, WA",False,https://images.pexels.com/photos/698989/pexels-photo-5404125.jpeg|https://images.pexels.com/photos/367203/pexels-photo-9782908.jpeg|https://images.pexels.com/photos/359723/pexels-photo-1892927.jpeg,4.9
kyKJfUikws53IWO,Dodge Magnum,Truck,$925,Say green have admit parent build.,13875,2003,Diesel,Manual,GhostWhite,"Michaelmouth, IL",True,https://images.pexels.com/photos/157101/pexels-photo-8724271.jpeg|https://images.pexels.com/photos/269151/pexels-photo-6996084.jpeg,4.0
bWkJoYeipwiVLFx,Honda S2000,Sedan,$464,Agency finish involve usually wall contain.,55581,2018,Gasoline,Automatic,AntiqueWhite,"Brightmouth, MA",False,https://images.pexels.com/photos/398511/pexels-photo-9252621.jpeg,4.2
T7ktcCXy3UmpxVu,Mercedes-Benz AMG GT,Sedan,$848,Weight human buy itself receive.,79865,2017,Diesel,Manual,Maroon,"Estradafurt, CA",False,https://images.pexels.com/photos/620640/pexels-photo-3339414.jpeg|https://images.pexels.com/photos/797740/pexels-photo-6718489.jpeg|https://images.pexels.com/photos/458329/pexels-photo-3319256.jpeg,3.4
BP13tW3pbPmOOYj,Audi A7,Truck,$635,Success listen have summer.,72684,2002,Gasoline,Automatic,Salmon,"Brianville, WY",True,https://images.pexels.com/photos/556787/pexels-photo-3433162.jpeg,4.4
TuU5MVbHRj94GkY,Honda Element,SUV,$927,South tax natural maybe present main source.,16245,2019,Gasoline,Automatic,MediumSeaGreen,"South Laceyport, AK",True,https://images.pexels.com/photos/181168/pexels-photo-2656422.jpeg|https://images.pexels.com/photos/493671/pexels-photo-7623720.jpeg|https://images.pexels.com/photos/506125/pexels-photo-7640384.jpeg,4.8
YUu1rHsQl7RuAcs,Ford Windstar,Sedan,$907,Goal where north.,71015,2018,Electric,Manual,RosyBrown,"Davidhaven, CT",True,https://images.pexels.com/photos/451445/pexels-photo-8556457.jpeg,4.7
PrPEhuvP4zyxwiG,Dodge Caliber,SUV,$677,Claim course protect reflect able military.,39678,2017,Gasoline,Automatic,LightSlateGray,"West Shawn, AZ",True,https://images.pexels.com/photos/481323/pexels-photo-6435274.jpeg|https://images.pexels.com/photos/295481/pexels-photo-4339859.jpeg|https://images.pexels.com/photos/160315/pexels-photo-7035228.jpeg,3.6
9s7v2H5nF389RTr,Dodge Viper,Truck,$697,Side front expert one risk step.,66439,2008,Diesel,Automatic,MidnightBlue,"South Jimmyville, NE",False,https://images.pexels.com/photos/223194/pexels-photo-7054253.jpeg|https://images.pexels.com/photos/279696/pexels-photo-2318085.jpeg,4.9
ZYud7xEADqNxFk2,Mazda Millenia,Sedan,$534,Tree low cell serve painting.,47758,2019,Electric,Manual,BurlyWood,"South Carolynmouth, KY",False,https://images.pexels.com/photos/768776/pexels-photo-7766889.jpeg|https://images.pexels.com/photos/45445/pexels-photo-7918565.jpeg,4.6
